feature,importance
V258,7353.4374713897705
C1,2483.376006126404
TransactionAmt,2445.504574537277
card1,2278.6526812314987
C14,2235.9452917575836
card2,2096.18868291378
C13,1825.1297832727432
D2,1552.5471863746643
addr1,1495.065289258957
V294,1247.8063423633575
C8,1095.5283734798431
V187,1076.050404548645
D15,1016.2250112295151
C11,977.36478972435
card5,926.5189728736877
V49,923.517505645752
D10,905.5172276496887
dist1,821.0953940153122
D4,790.1367788314819
D1,749.4677503108978
V283,718.2007982730865
V317,678.6965324878693
C6,673.867604970932
V45,642.4308049678802
D8,611.6447055339813
V308,597.2213151454926
V307,570.707558631897
V313,561.1364398002625
V70,554.356281042099
C7,551.9075175523758
D3,551.5341212749481
D5,545.885648727417
card3,534.5577971935272
id_02,511.0273988246918
C9,510.6287202835083
V91,485.8469829559326
D11,483.37094950675964
V87,452.8945279121399
C2,443.67445170879364
id_20,438.98395025730133
V53,437.8897262811661
V149,408.4165096282959
id_17,402.8598794937134
C4,400.27152252197266
V310,390.12718963623047
V152,374.6790518760681
V320,363.55600571632385
V201,355.5909779071808
V314,310.32828068733215
V312,305.943683385849
V281,295.7003571987152
V127,281.3771114349365
D14,278.871782541275
V280,277.9942190647125
id_05,277.05597949028015
V268,272.75506687164307
id_19,272.1391706466675
C12,269.9325923919678
V90,262.9175982475281
id_13,261.24328994750977
C10,258.99692249298096
V131,247.68369913101196
V200,247.53207874298096
V126,224.33170104026794
id_06,216.56036162376404
V306,214.21878099441528
V133,214.11681985855103
V130,208.11967992782593
C5,206.23609137535095
id_01,205.92910027503967
V225,204.44400024414062
V76,202.3441984653473
V285,197.61349821090698
V165,196.48627948760986
addr2,196.14240741729736
id_03,190.43649792671204
V316,174.92999005317688
id_18,172.16621017456055
V243,169.78464436531067
V128,165.9852592945099
D13,165.2382904291153
V96,159.57966017723083
V140,159.14388751983643
V292,158.70985221862793
D9,157.79088950157166
V38,157.4653205871582
V75,154.51170897483826
V20,152.31788873672485
V291,149.01454091072083
V82,147.7682421207428
V296,145.10019755363464
id_32,139.05999994277954
dist2,137.00557041168213
V12,136.22492861747742
V35,134.12513995170593
id_09,131.96362972259521
V83,128.99580073356628
V19,127.15310001373291
V78,126.10997152328491
V102,125.33256936073303
V315,124.74229979515076
V48,123.99538969993591
V99,120.25498867034912
V62,115.66063213348389
V4,115.29239058494568
V195,114.0989990234375
V67,109.34372186660767
