feature,correlation,abs_corr
V45,0.27547056129806835,0.27547056129806835
V44,0.25558088125445216,0.25558088125445216
V40,0.21134558559598168,0.21134558559598168
V39,0.20778736216835567,0.20778736216835567
V43,0.2035139859403915,0.2035139859403915
V38,0.20012162183913407,0.20012162183913407
V42,0.19894022248386156,0.19894022248386156
V50,0.18914073712843282,0.18914073712843282
V33,0.188897644392893,0.188897644392893
V17,0.1863075862562915,0.1863075862562915
V18,0.18580602240748656,0.18580602240748656
V34,0.18574998384421698,0.18574998384421698
V15,0.1833954256421946,0.1833954256421946
V37,0.1803477947283576,0.1803477947283576
V16,0.17941880509963917,0.17941880509963917
V21,0.1730078845163315,0.1730078845163315
V31,0.16762875234481595,0.16762875234481595
V22,0.16623017489714234,0.16623017489714234
V32,0.16340823745002672,0.16340823745002672
V23,0.15596780235388566,0.15596780235388566
