feature,importance
V257,39381.60566473007
C14,19836.01047062874
DeviceInfo,15994.819812774658
C1,12790.289134144783
V258,12731.651336669922
V189,9547.243818678893
amt_vs_addr_mean,8341.391806602478
R_emaildomain,8121.897495269775
C13,7789.798685908143
V317,6722.51885509491
D2,6060.852687001228
C12,5885.916569709778
V308,5370.769195556641
card1_amt_mean,5106.516551494598
C11,4602.053885197733
C8,4595.037296295166
V266,4572.761514663696
V294,4475.2905921936035
id_31,4339.842992782593
V91,4327.739990234375
C6,4256.687310166657
P_emaildomain,4171.750787734985
V70,4062.657989501953
R_email_is_free,4044.260377883911
card1_txn_count,3028.2995504233986
card6,2995.9058017730713
addr1,2713.3619089126587
card1_amt_std,2530.237639544066
addr1_txn_count,2392.1734511852264
V315,2303.2654609680176
V283,2150.401158094406
id_30,2062.7565937042236
card2,2060.785348892212
D15,2058.3933318471536
card3,2028.862598657608
V322,2005.8800048828125
id_33,1965.3659915924072
D3,1726.613021850586
TransactionAmt,1670.9036616273224
V45,1631.3920006752014
C2,1629.0873044654727
V62,1554.2375543117523
V156,1542.6366963386536
V281,1356.8931875824928
dist1,1333.9187850952148
V29,1236.1009826660156
card1,1145.2480753660202
V48,1126.5577239990234
D1,1025.0568611621857
C9,1016.3325045332313
V149,1010.4611854553223
D8,964.5174188113306
D4,956.5265430212021
V217,952.6132984161377
D10,944.0528320595622
C10,943.1266822516918
id_01,940.6777076721191
ProductCD,919.8564872741699
card5,872.3441858291626
amt_to_card_mean_ratio,865.8194870948792
V82,807.2008094787598
V87,805.2839269638062
M4,800.2465858459473
id_20,788.6115822792053
V152,769.6683025360107
V53,760.4525089263916
C5,746.6328983306885
V54,742.2566890716553
V310,722.6702175140381
V76,703.8484110832214
V12,695.5184097290039
V131,678.534930229187
V207,677.5078926086426
V296,676.0170021057129
id_03,661.8243474960327
V67,649.6705989837646
V133,623.0605888366699
M6,617.5512970983982
M5,609.3350601196289
id_09,584.9075975418091
id_02,575.2827244102955
V307,556.3493371009827
V227,551.9720077514648
V165,551.271692276001
V279,549.213005065918
V285,537.1198968887329
time_since_last_txn,529.9340600967407
V232,514.0271377563477
V267,500.48161125183105
V35,493.20149993896484
D13,482.603289604187
V83,477.91529273986816
V312,473.94499588012695
V143,468.04009342193604
V318,467.59705114364624
TransactionAmt_decimal,466.66761112213135
id_17,461.3078727722168
addr1_amt_std,461.3043522834778
V157,461.0610113143921
V55,431.98230361938477
TransactionAmt_log,429.3088319301605
amt_vs_card_mean,407.9682547026314
D5,401.35668909549713
D14,388.67483139038086
V13,377.3799567222595
V115,354.53549575805664
V333,351.47515618801117
V78,347.41493558883667
D11,342.9479559659958
day_of_month,339.08604377508163
V102,338.78380012512207
id_05,330.0599766969681
V38,326.7556037902832
card4,323.97839546203613
id_14,311.3329963684082
V210,298.375
V277,294.1479606628418
D12,284.82228994369507
addr1_amt_mean,280.85893964767456
email_match,278.47179794311523
DeviceType,274.9319038391113
V323,273.72448539733887
id_13,272.6972990036011
V254,271.39801025390625
is_round_amount,270.11071014404297
D6,267.0886650085449
C4,259.98460245132446
id_06,257.82501578330994
V320,249.4523115158081
M3,248.0385036468506
V36,240.2744960784912
hour,239.6830611228943
V129,234.44780158996582
V261,229.2299976348877
V164,227.39789962768555
V314,219.02973061986268
id_19,216.8214737176895
V316,204.08583009243011
V291,202.4155674315989
V306,195.16619300842285
V168,194.08399963378906
V30,193.62767601013184
M2,191.1822967529297
C3,189.8883991241455
V56,184.15349769592285
V301,183.67689514160156
V126,177.44160270690918
V96,177.41782650351524
V34,170.11300659179688
V94,161.7721996307373
V246,157.93777894973755
V256,155.86370277404785
V20,144.15583276748657
V69,140.121000289917
dist2,138.406742811203
V313,134.29113007336855
V303,130.49899291992188
M9,128.88790130615234
V44,121.03502941131592
V332,114.23704743385315
D9,112.75161027908325
V311,112.41780090332031
V8,110.20779609680176
id_18,109.43262052536011
V251,109.3892993927002
id_04,107.44040107727051
V127,105.88800048828125
V139,105.73550033569336
V180,104.2854995727539
V60,99.77300977706909
V293,97.91500091552734
V234,94.41237926483154
V271,93.92699909210205
V49,90.08589935302734
V162,89.72480010986328
day_of_week,88.88199857575819
V208,88.4198989868164
V187,88.4029905796051
V66,83.03985786437988
V61,81.03170204162598
V218,81.00251150131226
V136,79.80770111083984
