column,missing_pct,dtype,strategy
TransactionID,0.0,int32,None needed
isFraud,0.0,int8,None needed
TransactionDT,0.0,int32,None needed
TransactionAmt,0.0,float32,None needed
ProductCD,0.0,category,None needed
card1,0.0,int16,None needed
card2,1.5126833068039423,float32,Median
card3,0.26501168422122123,float32,Median
card4,0.267043722694483,category,Mode
card5,0.7212043214684865,float32,Median
card6,0.26602770345785215,category,Mode
addr1,11.12642666034477,float32,Median + Indicator
addr2,11.12642666034477,float32,Median + Indicator
dist1,59.6523520845328,float32,Median + Indicator
dist2,93.62837403054831,float32,Indicator only
P_emaildomain,15.99485216920107,category,Mode + Indicator
R_emaildomain,76.75161716395164,category,Indicator only
C1,0.0,float32,None needed
C2,0.0,float32,None needed
C3,0.0,float32,None needed
C4,0.0,float32,None needed
C5,0.0,float32,None needed
C6,0.0,float32,None needed
C7,0.0,float32,None needed
C8,0.0,float32,None needed
C9,0.0,float32,None needed
C10,0.0,float32,None needed
C11,0.0,float32,None needed
C12,0.0,float32,None needed
C13,0.0,float32,None needed
C14,0.0,float32,None needed
D1,0.21488806854743114,float32,Median
D2,47.54919226470688,float32,Median + Indicator
D3,44.514850814508755,float32,Median + Indicator
D4,28.60466691502693,float32,Median + Indicator
D5,52.4674027161581,float32,Median + Indicator
D6,87.60676668811597,float32,Indicator only
D7,93.40992989467267,float32,Indicator only
D8,87.31229044603245,float32,Indicator only
D9,87.31229044603245,float32,Indicator only
D10,12.873302401192129,float32,Median + Indicator
D11,47.29349409015477,float32,Median + Indicator
D12,89.04104717715988,float32,Indicator only
D13,89.50926270870728,float32,Indicator only
D14,89.46946862193924,float32,Indicator only
D15,15.09008703898127,float32,Median + Indicator
M1,45.90713584177194,category,Mode + Indicator
M2,45.90713584177194,category,Mode + Indicator
M3,45.90713584177194,category,Mode + Indicator
M4,47.658753005723575,category,Mode + Indicator
M5,59.34940901547736,category,Mode + Indicator
M6,28.678836319300977,category,Mode + Indicator
M7,58.63531682866528,category,Mode + Indicator
M8,58.633115453652586,category,Mode + Indicator
M9,58.633115453652586,category,Mode + Indicator
V1,47.29349409015477,float32,Median + Indicator
V2,47.29349409015477,float32,Median + Indicator
V3,47.29349409015477,float32,Median + Indicator
V4,47.29349409015477,float32,Median + Indicator
V5,47.29349409015477,float32,Median + Indicator
V6,47.29349409015477,float32,Median + Indicator
V7,47.29349409015477,float32,Median + Indicator
V8,47.29349409015477,float32,Median + Indicator
V9,47.29349409015477,float32,Median + Indicator
V10,47.29349409015477,float32,Median + Indicator
V11,47.29349409015477,float32,Median + Indicator
V12,12.881938564703491,float32,Median + Indicator
V13,12.881938564703491,float32,Median + Indicator
V14,12.881938564703491,float32,Median + Indicator
V15,12.881938564703491,float32,Median + Indicator
V16,12.881938564703491,float32,Median + Indicator
V17,12.881938564703491,float32,Median + Indicator
V18,12.881938564703491,float32,Median + Indicator
V19,12.881938564703491,float32,Median + Indicator
V20,12.881938564703491,float32,Median + Indicator
V21,12.881938564703491,float32,Median + Indicator
V22,12.881938564703491,float32,Median + Indicator
V23,12.881938564703491,float32,Median + Indicator
V24,12.881938564703491,float32,Median + Indicator
V25,12.881938564703491,float32,Median + Indicator
V26,12.881938564703491,float32,Median + Indicator
V27,12.881938564703491,float32,Median + Indicator
V28,12.881938564703491,float32,Median + Indicator
V29,12.881938564703491,float32,Median + Indicator
V30,12.881938564703491,float32,Median + Indicator
V31,12.881938564703491,float32,Median + Indicator
V32,12.881938564703491,float32,Median + Indicator
V33,12.881938564703491,float32,Median + Indicator
V34,12.881938564703491,float32,Median + Indicator
V35,28.612625732380533,float32,Median + Indicator
V36,28.612625732380533,float32,Median + Indicator
V37,28.612625732380533,float32,Median + Indicator
V38,28.612625732380533,float32,Median + Indicator
V39,28.612625732380533,float32,Median + Indicator
V40,28.612625732380533,float32,Median + Indicator
V41,28.612625732380533,float32,Median + Indicator
